osm_id;roof:shape;roof:material
365359554;flat;concrete
365359556;hipped;metal
365359559;flat;metal
365359560;flat;metal
365359561;flat;metal
365359562;flat;
365359564;;metal
365359566;;metal
365359567;;metal
365359572;hipped;metal
365359574;flat;metal
365359575;;metal
365359576;;metal
365359578;hipped;concrete
365359579;flat;metal
365359582;hipped;metal
365359585;;metal
365359587;;metal
365359991;;metal
365359993;;metal
365471777;flat;concrete
365471778;flat;concrete
365471779;;concrete
365471780;hipped;metal
365471781;hipped;metal
365532981;;metal
365532982;;metal
365532983;;metal
365532984;;metal
365532985;flat;concrete
365532986;flat;concrete
365532987;hipped;roof_tiles
365532988;;metal
365532989;;metal
365532990;;metal
365532991;hipped;metal
365532992;;metal
365532993;flat;metal
365536062;hipped;roof_tiles
365536063;;metal
365536064;hipped;metal
365536065;;metal
366452160;flat;metal
366452493;flat;roof_tiles
366452494;flat;roof_tiles
366455363;hipped;roof_tiles
366455365;flat;concrete
366455366;;metal
366455367;flat;concrete
366457378;;metal
366458370;;metal
366458371;hipped;metal
366458372;hipped;metal
366458611;;metal
366458612;;metal
366459028;;metal
366489126;flat;metal
366489127;hipped;metal
366493759;hipped;roof_tiles
366602947;hipped;
366606531;flat;concrete
362865249;hipped;roof_tiles
362865250;flat;metal
362865251;flat;concrete
362865252;hipped;metal
362865254;flat;concrete
362865255;hipped;
362865256;;metal
362865257;hipped;metal
362865258;;metal
362865259;;concrete
362865260;;metal
362865262;;metal
362865263;;metal
362865264;flat;concrete
362865265;hipped;metal
362865266;hipped;metal
362865268;hipped;metal
362865269;;metal
362865270;;metal
362865271;flat;concrete
362865272;hipped;roof_tiles
362865273;;metal
362865274;hipped;
362865275;hipped;
362865276;hipped;metal
362865277;;metal
362865278;;metal
362865279;hipped;metal
362865280;flat;metal
362865281;hipped;metal
362865283;;metal
362865284;;metal
362865286;;concrete
362865287;hipped;metal
362865288;hipped;
362865289;hipped;roof_tiles
362865290;flat;concrete
362865291;;roof_tiles
362865292;;concrete
362865294;hipped;metal
362865295;flat;concrete
365477317;flat;concrete
365477318;flat;concrete
365477319;;metal
365477322;hipped;metal
365477323;hipped;metal
365477326;flat;concrete
365477327;;metal
365477328;;roof_tiles
365477329;flat;metal
365477330;hipped;metal
365477331;;metal
365477332;flat;concrete
365477333;;metal
365477334;flat;concrete
367368829;flat;metal
367368830;flat;metal
367368833;flat;concrete
367368834;flat;concrete
367368835;hipped;metal
367368836;hipped;
367370962;flat;metal
367370963;hipped;metal
367370964;hipped;concrete
367370965;flat;
367370966;hipped;concrete
367370967;;metal
367370968;;metal
367370969;hipped;concrete
367370970;;concrete
367370973;;metal
367370974;;metal
367370975;flat;concrete
367370976;;metal
367370977;flat;concrete
367370978;;metal
363228748;hipped;roof_tiles
363228749;hipped;roof_tiles
363228750;hipped;roof_tiles
363228751;flat;concrete
363228752;flat;concrete
363228754;hipped;metal
363228755;flat;concrete
363228756;hipped;roof_tiles
363228757;flat;concrete
363228758;flat;concrete
363228760;flat;concrete
363228761;flat;concrete
363228762;flat;concrete
363228763;flat;concrete
363228765;hipped;metal
363228766;hipped;metal
363228771;flat;concrete
363228772;hipped;metal
363229839;hipped;metal
363229840;hipped;metal
363229841;hipped;metal
363229842;hipped;metal
363233960;hipped;
363233962;;metal
363233963;;metal
363233964;;metal
363233965;hipped;
363233966;hipped;metal
363233967;hipped;metal
363233968;hipped;metal
363233970;hipped;roof_tiles
363233971;hipped;roof_tiles
363235841;;metal
363235843;;metal
363235844;hipped;
363235845;hipped;
363235846;hipped;
363235847;hipped;
363235848;hipped;
362865296;;metal
362865299;;metal
362865301;;metal
362865302;hipped;roof_tiles
